Data Number,Motor 1 Position,Motor 2 Position,Motor 3 Position,Motor 4 Position,Frequency (MHz),Real Impedance (Ohms),Imaginary Impedance (Ohms),Color
,69,0,0,141,18.5,66.28510599726202,192.58825467818664,#3498db
,79,0,0,141,18.5,68.02769005278373,197.13810216294152,#3498db
,89,0,0,141,18.5,68.56748490020189,203.18047814783475,#3498db
,98,0,0,141,18.5,68.74607805584891,207.86367992804173,#3498db
,108,0,0,141,18.5,70.25862798100545,212.48139713883663,#3498db
,118,0,0,141,18.5,71.23398937341733,216.41562758632932,#3498db
,129,0,0,141,18.5,72.73252986366391,221.9285097183679,#3498db
,138,0,0,141,18.5,74.99958642011087,225.38744351436236,#3498db
,148,0,0,141,18.5,76.576005957129,231.3833158597619,#3498db
,158,0,0,141,18.5,78.66714390090598,232.47199425708857,#3498db
,168,0,0,141,18.5,80.49858588096033,236.656728414309,#3498db
,178,0,0,141,18.5,81.94714010016715,238.59267599806836,#3498db
,188,0,0,141,18.5,79.27686710867047,235.75261465031784,#3498db
,198,0,0,141,18.5,77.12943776634471,231.49118063315157,#3498db
,2,0,0,151,18.5,70.40259185014503,161.69458983029563,#f39c12
,11,0,0,151,18.5,68.73522005285515,168.07679905262498,#f39c12
,22,0,0,151,18.5,69.1065946463432,175.70563047038405,#f39c12
,32,0,0,151,18.5,68.50748078195382,182.75706122524812,#f39c12
,41,0,0,151,18.5,68.92027686015608,188.65818130514592,#f39c12
,51,0,0,151,18.5,69.6773356677865,195.69635359324545,#f39c12
,61,0,0,151,18.5,69.55165065372402,201.98360515055086,#f39c12
,71,0,0,151,18.5,70.94407397789408,206.15352547517008,#f39c12
,82,0,0,151,18.5,71.76884707109006,213.12809093038024,#f39c12
,91,0,0,151,18.5,72.53884435781683,218.8661300944799,#f39c12
,101,0,0,151,18.5,74.04752839806443,223.23157033793453,#f39c12
,111,0,0,151,18.5,75.89968140821004,227.72298362976738,#f39c12
,121,0,0,151,18.5,76.5356782700229,232.62026584050818,#f39c12
,121,0,0,151,18.5,78.41068048017654,237.93454366547363,#f39c12
,131,0,0,151,18.5,80.14243250919114,237.765070611457,#f39c12
,141,0,0,151,18.5,80.89269167825425,240.49056447728006,#f39c12
,151,0,0,151,18.5,82.04365283748523,244.56427625458028,#f39c12
,161,0,0,151,18.5,82.55288407119308,247.46684890110663,#f39c12
,171,0,0,151,18.5,84.89186611529406,250.83718914432524,#f39c12
,181,0,0,151,18.5,86.0003929962651,251.81695472830236,#f39c12
,191,0,0,151,18.5,82.90550200904647,249.50692305009662,#f39c12
,201,0,0,151,18.5,82.77603601575137,245.8808526720317,#f39c12
,0,0,0,161,18.5,75.14271826450101,172.48324725467148,#1abc9c
,10,0,0,161,18.5,73.64546631322277,180.2055387713285,#1abc9c
,20,0,0,161,18.5,73.37402963122037,187.44556446326402,#1abc9c
,30,0,0,161,18.5,73.52395586741872,194.66384476181705,#1abc9c
,40,0,0,161,18.5,72.49668190913643,201.83756498513415,#1abc9c
,50,0,0,161,18.5,73.27585013318779,207.77179002719035,#1abc9c
,60,0,0,161,18.5,74.91446723707799,214.31040415361932,#1abc9c
,70,0,0,161,18.5,75.05250696577761,220.72256779201825,#1abc9c
,80,0,0,161,18.5,75.65258898015936,226.41007778662708,#1abc9c
,90,0,0,161,18.5,77.04812450380717,230.95513249344833,#1abc9c
,100,0,0,161,18.5,77.13430935194525,236.29872862030777,#1abc9c
,110,0,0,161,18.5,81.48227224349283,241.7709634245686,#1abc9c
,120,0,0,161,18.5,80.72984390405752,244.7036074863018,#1abc9c
,130,0,0,161,18.5,81.94437776196897,251.07253767616103,#1abc9c
,140,0,0,161,18.5,85.45352497311359,254.86000506520278,#1abc9c
,149,0,0,161,18.5,87.25265396747609,258.6190274640825,#1abc9c
